user_id,n_tweets,n_replies,n_quotes,n_retweets,max_followers,n_mentions,n_hashtags,n_urls,n_out_urls,f_tweets,f_friends,atypique,commentaire
1000348785791422464,10,0,0,10,43,13,27,0,0,0.1365972595880547,0.3278334230113314,0,
122658363,2,0,1,2,25,2,5,1,0,2181.818181818182,0.0,1,f tweets
248581729,1,0,0,1,13402,1,2,0,0,0.0115233882080067,0.0,1,Followers
149825491,1,0,0,1,1292,1,2,0,0,0.0115233882080067,0.0,0,
2871069722,1,0,0,1,404,1,0,1,1,0.0115233882080067,0.0,0,
4714090743,88,0,2,33,5323,42,152,38,0,1.4438384905674893,0.0,1,Tweets
348843587,5,0,1,5,354,5,8,1,0,0.0799288462753277,0.0159857692550655,0,
726359445987532800,1,0,0,1,18,1,3,0,0,0.0115233882080067,0.0,0,
363836839,1,0,1,1,361,1,0,1,0,0.0115233882080067,0.0,0,
21053544,2,0,1,1,91,2,3,1,0,338.3935705221601,0.0,1,f tweets
2472334436,1,0,0,0,104,0,4,0,0,0.0115233882080067,0.0,0,
20763647,1,0,0,1,759,1,1,0,0,0.0115233882080067,0.0,0,
2602388304,3,0,0,3,334,4,4,1,1,0.0515551747346648,0.0171850582448882,0,
40852252,2,0,0,0,575,0,5,0,0,0.0761840243307225,0.0761840243307225,0,
188971622,1,0,1,0,288,0,0,1,0,0.0115233882080067,0.0,0,
136559300,1,0,1,1,375,1,0,0,0,0.0115233882080067,0.0,0,
709852368,1,0,1,1,332,1,0,1,0,0.0115233882080067,0.0,0,
792669771066114048,1,0,1,1,37,3,2,0,0,0.0115233882080067,0.0,0,
74459044,1,0,1,0,1285,0,0,1,0,0.0115233882080067,0.0,0,
832295417178120192,2,0,0,2,230,2,7,0,0,4.599486901683412,0.0,0,
3501989602,10,0,0,5,3820,8,11,3,2,0.163153619515689,2.5451964644447496,1,Mentions
206890899,3,0,1,0,7298,0,3,1,0,2.021495232640409,0.0,1,Followers
1035380762,2,0,0,0,1982,0,2,1,0,0.0576210690286481,0.0,0,
171934520,1,0,0,0,7866,0,3,1,0,0.0115233882080067,0.0,1,Followers
817957305173975040,2,0,0,2,40,2,4,1,1,0.2994342937605129,0.0,0,
392411896,9,0,0,9,540,11,14,1,1,0.1709802485516653,0.0189978053946294,1,Mentions
1862175440,2,0,0,0,28,0,6,0,0,10.907454790872276,0.0,1,f tweets
1249811761,1,0,0,1,175,1,1,1,1,0.0115233882080067,0.0,0,
722435368222523392,1,0,0,1,35,1,1,0,0,0.0115233882080067,0.0,0,
1275408288,1,0,0,0,518,0,1,0,0,0.0115233882080067,0.0,0,
116768680,11,0,0,1,916,1,33,0,0,0.247973789571208,0.0450861435584014,1,Hashtags
198266997,1,0,0,1,2185,1,1,0,0,0.0115233882080067,0.0,0,
857589044405993473,1,0,0,0,35,0,5,0,0,0.0115233882080067,0.0,0,
255372754,1,0,0,1,172,1,2,0,0,0.0115233882080067,0.0,0,
260416387,4,0,0,3,1518,3,7,0,0,0.0734146256882404,0.0550609692661803,0,
1280538974,1,0,0,1,171,1,2,0,0,0.0115233882080067,0.0,0,
947493580796461056,1,0,1,1,6,1,1,1,0,0.0115233882080067,0.0,0,
373676500,1,0,0,1,212,1,2,0,0,0.0115233882080067,0.0,0,
48238429,1,0,0,1,191,2,1,0,0,0.0115233882080067,0.0,0,
714613588997115904,1,0,1,1,173,1,0,0,0,0.0115233882080067,0.0,0,
2294457854,1,0,0,0,358,0,3,0,0,0.0115233882080067,0.0,0,
53089697,1,0,1,0,2801,0,0,1,0,0.0115233882080067,0.0,0,
999174994327465985,1,0,0,1,11,1,2,0,0,0.0115233882080067,0.0,0,
809633549108252672,1,0,0,1,5,1,5,0,0,0.0115233882080067,0.0,0,
1566931399,2,0,0,2,227,2,2,0,0,2.5946095545055394,0.0,0,
710842560785199104,1,0,0,1,599,1,1,0,0,0.0115233882080067,0.0,0,
890448391,2,0,1,2,599,2,1,1,0,0.1194283185343677,0.0,0,
205365193,5,1,2,3,4643,10,6,2,0,0.1024216145477021,0.0204843229095404,1,Mentions
2171375114,5,0,1,5,158,5,6,2,1,0.1736154431245309,0.0347230886249061,0,
229029416,2,0,0,2,436,3,2,0,0,0.0280526131903363,0.0140263065951681,0,
34395835,1,0,0,1,136,1,1,1,1,0.0115233882080067,0.0,0,
20693938,1,0,0,0,1197,0,1,0,0,0.0115233882080067,0.0,0,
329569808,1,0,0,1,2575,2,1,0,0,0.0115233882080067,0.0,0,
737089138395058176,3,0,0,2,12368,3,5,0,0,0.0568084907821859,0.0946808179703098,1,Followers
14766585,8,1,1,0,2031,2,16,2,0,0.1889194455159172,0.0472298613789793,0,
874817124149194752,4,0,2,1,681,1,2,2,0,0.0551073225439165,0.0137768306359791,0,
1949121762,4,0,1,1,46,1,13,1,0,1.2381108045544935,0.3095277011386234,0,
940696727203581953,1,0,0,1,503,1,3,0,0,0.0115233882080067,0.0,0,
88984389,1,0,0,1,33,1,1,0,0,0.0115233882080067,0.0,0,
815366087642447872,1,0,0,1,10,2,2,0,0,0.0115233882080067,0.0,0,
214754295,1,0,1,0,4215,0,2,1,0,0.0115233882080067,0.0,0,
370268271,2,0,0,0,57769,0,10,1,0,29.72614786281383,0.0,1,Followers
492920726,1,0,0,1,183,1,0,0,0,0.0115233882080067,0.0,0,
882269532638859264,1,0,0,1,14,1,5,0,0,0.0115233882080067,0.0,0,
2176212944,2,0,0,0,108,0,2,0,0,0.0460779056301709,0.1612726697055984,0,
551795789,1,0,0,0,482,0,2,0,0,0.0115233882080067,0.0,0,
960218486797688837,1,0,0,1,51,1,1,0,0,0.0115233882080067,0.0,0,
297880732,3,0,0,3,15,4,8,0,0,0.1337428026094062,0.0,0,
448251934,2,0,0,0,318,0,2,0,0,0.0686217982784468,0.0343108991392234,0,
26325975,6,0,0,1,749,1,9,1,1,0.1043329810662254,0.0,0,
4113027263,1,0,0,1,38,1,1,0,0,0.0115233882080067,0.0,0,
989971031052910598,2,0,0,2,50,2,10,0,0,0.0682448955945986,0.0341224477972993,0,
2757821482,1,0,1,0,196,0,0,1,0,0.0115233882080067,0.0,0,
2338681497,1,0,0,1,52294,1,0,0,0,0.0115233882080067,0.0,1,Followers
987468364816711680,2,0,0,2,16,3,2,0,0,111.11454057223987,0.0,1,f tweets
874926546,3,0,0,3,672,3,1,0,0,112.63962620331452,0.0,1,f tweets
